timestamp,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningarea,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,96968,1071102,BM,CR,BMSZ01
2018-01-01T00:00:00.000+08:00,18918,277132,BM,CR,BMSZ02
2018-01-01T00:00:00.000+08:00,14712,100543,BM,CR,BMSZ03
2018-01-01T00:00:00.000+08:00,46197,394151,BM,CR,BMSZ04
2018-01-01T00:00:00.000+08:00,21460,245515,BM,CR,BMSZ05
2018-01-01T00:00:00.000+08:00,17520,163303,BM,CR,BMSZ06
2018-01-01T00:00:00.000+08:00,52086,795627,BM,CR,BMSZ07
2018-01-01T00:00:00.000+08:00,23660,379939,BM,CR,BMSZ08
2018-01-01T00:00:00.000+08:00,46683,659309,BM,CR,BMSZ09
2018-01-01T00:00:00.000+08:00,35583,345110,BM,CR,BMSZ10
2018-01-01T00:00:00.000+08:00,33187,296282,BM,CR,BMSZ11
2018-01-01T00:00:00.000+08:00,7277,53760,BM,CR,BMSZ12
2018-01-01T00:00:00.000+08:00,21025,454727,BM,CR,BMSZ13
2018-01-01T00:00:00.000+08:00,20241,327434,BM,CR,BMSZ14
2018-01-01T00:00:00.000+08:00,19356,304387,BM,CR,BMSZ15
2018-01-01T00:00:00.000+08:00,44491,470698,BM,CR,BMSZ16
2018-01-01T00:00:00.000+08:00,62969,453501,BM,CR,BMSZ17
2018-01-01T00:00:00.000+08:00,49411,1143881,BS,CR,BSSZ01
2018-01-01T00:00:00.000+08:00,42281,536522,BS,CR,BSSZ02
2018-01-01T00:00:00.000+08:00,93381,981877,BS,CR,BSSZ03
2018-01-01T00:00:00.000+08:00,50921,1007888,BT,CR,BTSZ01
2018-01-01T00:00:00.000+08:00,16452,240044,BT,CR,BTSZ02
2018-01-01T00:00:00.000+08:00,15278,349286,BT,CR,BTSZ03
2018-01-01T00:00:00.000+08:00,14558,344083,BT,CR,BTSZ04
2018-01-01T00:00:00.000+08:00,56009,404278,BT,CR,BTSZ05
2018-01-01T00:00:00.000+08:00,43582,647698,BT,CR,BTSZ06
2018-01-01T00:00:00.000+08:00,21669,431040,BT,CR,BTSZ07
2018-01-01T00:00:00.000+08:00,17863,219767,BT,CR,BTSZ08
2018-01-01T00:00:00.000+08:00,114998,725078,DT,CR,DTSZ01
2018-01-01T00:00:00.000+08:00,106512,685650,DT,CR,DTSZ02
2018-01-01T00:00:00.000+08:00,109854,926539,DT,CR,DTSZ03
2018-01-01T00:00:00.000+08:00,13973,56051,DT,CR,DTSZ04
2018-01-01T00:00:00.000+08:00,61926,296366,DT,CR,DTSZ05
2018-01-01T00:00:00.000+08:00,44561,249707,DT,CR,DTSZ06
2018-01-01T00:00:00.000+08:00,3645,38808,DT,CR,DTSZ07
2018-01-01T00:00:00.000+08:00,32971,239379,DT,CR,DTSZ08
2018-01-01T00:00:00.000+08:00,19416,180959,DT,CR,DTSZ09
2018-01-01T00:00:00.000+08:00,18229,211968,DT,CR,DTSZ10
2018-01-01T00:00:00.000+08:00,28285,234178,DT,CR,DTSZ11
2018-01-01T00:00:00.000+08:00,98022,935960,DT,CR,DTSZ12
2018-01-01T00:00:00.000+08:00,50765,743949,GL,CR,GLSZ01
2018-01-01T00:00:00.000+08:00,40023,669453,GL,CR,GLSZ02
2018-01-01T00:00:00.000+08:00,82729,1125734,GL,CR,GLSZ03
2018-01-01T00:00:00.000+08:00,182358,3865888,GL,CR,GLSZ04
2018-01-01T00:00:00.000+08:00,105984,1717767,GL,CR,GLSZ05
2018-01-01T00:00:00.000+08:00,113721,1651095,KL,CR,KLSZ01
2018-01-01T00:00:00.000+08:00,31419,384326,KL,CR,KLSZ02
2018-01-01T00:00:00.000+08:00,15210,179330,KL,CR,KLSZ03
2018-01-01T00:00:00.000+08:00,31288,107835,KL,CR,KLSZ04
2018-01-01T00:00:00.000+08:00,81258,713553,KL,CR,KLSZ05
2018-01-01T00:00:00.000+08:00,112008,1210460,KL,CR,KLSZ06
2018-01-01T00:00:00.000+08:00,83722,883694,KL,CR,KLSZ07
2018-01-01T00:00:00.000+08:00,37005,297724,KL,CR,KLSZ08
2018-01-01T00:00:00.000+08:00,63603,765351,KL,CR,KLSZ09
2018-01-01T00:00:00.000+08:00,48785,187939,ME,CR,MESZ01
2018-01-01T00:00:00.000+08:00,32353,630970,MP,CR,MPSZ01
2018-01-01T00:00:00.000+08:00,38992,630150,MP,CR,MPSZ02
2018-01-01T00:00:00.000+08:00,71608,1483715,MP,CR,MPSZ03
2018-01-01T00:00:00.000+08:00,33507,168060,MS,CR,MSSZ01
2018-01-01T00:00:00.000+08:00,81016,296487,MU,CR,MUSZ01
2018-01-01T00:00:00.000+08:00,37778,177741,MU,CR,MUSZ02
2018-01-01T00:00:00.000+08:00,22924,184243,MU,CR,MUSZ03
2018-01-01T00:00:00.000+08:00,30753,300372,NT,CR,NTSZ01
2018-01-01T00:00:00.000+08:00,6180,63577,NT,CR,NTSZ02
2018-01-01T00:00:00.000+08:00,29977,146405,NT,CR,NTSZ03
2018-01-01T00:00:00.000+08:00,28824,528266,NT,CR,NTSZ04
2018-01-01T00:00:00.000+08:00,8266,13383,NT,CR,NTSZ05
2018-01-01T00:00:00.000+08:00,12574,100910,NT,CR,NTSZ06
2018-01-01T00:00:00.000+08:00,102430,1638735,NV,CR,NVSZ01
2018-01-01T00:00:00.000+08:00,85273,994093,NV,CR,NVSZ02
2018-01-01T00:00:00.000+08:00,27401,312271,NV,CR,NVSZ03
2018-01-01T00:00:00.000+08:00,39816,183161,NV,CR,NVSZ04
2018-01-01T00:00:00.000+08:00,4571,37036,NV,CR,NVSZ05
2018-01-01T00:00:00.000+08:00,26368,426364,OR,CR,ORSZ01
2018-01-01T00:00:00.000+08:00,109736,1668186,OR,CR,ORSZ02
2018-01-01T00:00:00.000+08:00,101307,1139161,OR,CR,ORSZ03
2018-01-01T00:00:00.000+08:00,77568,747313,OT,CR,OTSZ01
2018-01-01T00:00:00.000+08:00,71912,150502,OT,CR,OTSZ02
2018-01-01T00:00:00.000+08:00,68874,743498,OT,CR,OTSZ03
2018-01-01T00:00:00.000+08:00,33847,224645,OT,CR,OTSZ04
2018-01-01T00:00:00.000+08:00,24847,343675,QT,CR,QTSZ01
2018-01-01T00:00:00.000+08:00,18811,351070,QT,CR,QTSZ02
2018-01-01T00:00:00.000+08:00,10344,149807,QT,CR,QTSZ03
2018-01-01T00:00:00.000+08:00,43181,316547,QT,CR,QTSZ04
2018-01-01T00:00:00.000+08:00,25422,439021,QT,CR,QTSZ05
2018-01-01T00:00:00.000+08:00,52379,740533,QT,CR,QTSZ06
