timestamp,discrete_visit_planningarea,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,CR,96968,1071102,BM,BMSZ01
2018-01-01T00:00:00.000+08:00,CR,18918,277132,BM,BMSZ02
2018-01-01T00:00:00.000+08:00,CR,14712,100543,BM,BMSZ03
2018-01-01T00:00:00.000+08:00,CR,46197,394151,BM,BMSZ04
2018-01-01T00:00:00.000+08:00,CR,21460,245515,BM,BMSZ05
2018-01-01T00:00:00.000+08:00,CR,17520,163303,BM,BMSZ06
2018-01-01T00:00:00.000+08:00,CR,52086,795627,BM,BMSZ07
2018-01-01T00:00:00.000+08:00,CR,23660,379939,BM,BMSZ08
2018-01-01T00:00:00.000+08:00,CR,46683,659309,BM,BMSZ09
2018-01-01T00:00:00.000+08:00,CR,35583,345110,BM,BMSZ10
2018-01-01T00:00:00.000+08:00,CR,33187,296282,BM,BMSZ11
2018-01-01T00:00:00.000+08:00,CR,7277,53760,BM,BMSZ12
2018-01-01T00:00:00.000+08:00,CR,21025,454727,BM,BMSZ13
2018-01-01T00:00:00.000+08:00,CR,20241,327434,BM,BMSZ14
2018-01-01T00:00:00.000+08:00,CR,19356,304387,BM,BMSZ15
2018-01-01T00:00:00.000+08:00,CR,44491,470698,BM,BMSZ16
2018-01-01T00:00:00.000+08:00,CR,62969,453501,BM,BMSZ17
2018-01-01T00:00:00.000+08:00,CR,49411,1143881,BS,BSSZ01
2018-01-01T00:00:00.000+08:00,CR,42281,536522,BS,BSSZ02
2018-01-01T00:00:00.000+08:00,CR,93381,981877,BS,BSSZ03
2018-01-01T00:00:00.000+08:00,CR,50921,1007888,BT,BTSZ01
2018-01-01T00:00:00.000+08:00,CR,16452,240044,BT,BTSZ02
2018-01-01T00:00:00.000+08:00,CR,15278,349286,BT,BTSZ03
2018-01-01T00:00:00.000+08:00,CR,14558,344083,BT,BTSZ04
2018-01-01T00:00:00.000+08:00,CR,56009,404278,BT,BTSZ05
2018-01-01T00:00:00.000+08:00,CR,43582,647698,BT,BTSZ06
2018-01-01T00:00:00.000+08:00,CR,21669,431040,BT,BTSZ07
2018-01-01T00:00:00.000+08:00,CR,17863,219767,BT,BTSZ08
2018-01-01T00:00:00.000+08:00,CR,114998,725078,DT,DTSZ01
2018-01-01T00:00:00.000+08:00,CR,106512,685650,DT,DTSZ02
2018-01-01T00:00:00.000+08:00,CR,109854,926539,DT,DTSZ03
2018-01-01T00:00:00.000+08:00,CR,13973,56051,DT,DTSZ04
2018-01-01T00:00:00.000+08:00,CR,61926,296366,DT,DTSZ05
2018-01-01T00:00:00.000+08:00,CR,44561,249707,DT,DTSZ06
2018-01-01T00:00:00.000+08:00,CR,3645,38808,DT,DTSZ07
2018-01-01T00:00:00.000+08:00,CR,32971,239379,DT,DTSZ08
2018-01-01T00:00:00.000+08:00,CR,19416,180959,DT,DTSZ09
2018-01-01T00:00:00.000+08:00,CR,18229,211968,DT,DTSZ10
2018-01-01T00:00:00.000+08:00,CR,28285,234178,DT,DTSZ11
2018-01-01T00:00:00.000+08:00,CR,98022,935960,DT,DTSZ12
2018-01-01T00:00:00.000+08:00,CR,50765,743949,GL,GLSZ01
2018-01-01T00:00:00.000+08:00,CR,40023,669453,GL,GLSZ02
2018-01-01T00:00:00.000+08:00,CR,82729,1125734,GL,GLSZ03
2018-01-01T00:00:00.000+08:00,CR,182358,3865888,GL,GLSZ04
2018-01-01T00:00:00.000+08:00,CR,105984,1717767,GL,GLSZ05
2018-01-01T00:00:00.000+08:00,CR,113721,1651095,KL,KLSZ01
2018-01-01T00:00:00.000+08:00,CR,31419,384326,KL,KLSZ02
