timestamp,staypoint_planningregion,hyperUnique_unique_agents,longSum_total_stays,longSum_sum_stay_duration,staypoint_planningarea,staypoint_subzone
2018-01-01T00:00:00.000+08:00,CR,64569,80768,12174459,BM,BMSZ01
2018-01-01T00:00:00.000+08:00,CR,6934,9110,2533589,BM,BMSZ02
2018-01-01T00:00:00.000+08:00,CR,5522,7386,2068739,BM,BMSZ03
2018-01-01T00:00:00.000+08:00,CR,8756,10940,3765628,BM,BMSZ04
2018-01-01T00:00:00.000+08:00,CR,9962,11907,2873813,BM,BMSZ05
2018-01-01T00:00:00.000+08:00,CR,2741,3541,1133463,BM,BMSZ06
2018-01-01T00:00:00.000+08:00,CR,21514,28929,8441634,BM,BMSZ07
2018-01-01T00:00:00.000+08:00,CR,8502,11468,3919383,BM,BMSZ08
2018-01-01T00:00:00.000+08:00,CR,20038,28594,7526542,BM,BMSZ09
2018-01-01T00:00:00.000+08:00,CR,13410,17523,4362229,BM,BMSZ10
2018-01-01T00:00:00.000+08:00,CR,6404,8321,2438639,BM,BMSZ11
2018-01-01T00:00:00.000+08:00,CR,1733,2265,591981,BM,BMSZ12
2018-01-01T00:00:00.000+08:00,CR,10315,14468,4903124,BM,BMSZ13
2018-01-01T00:00:00.000+08:00,CR,6516,8772,2941282,BM,BMSZ14
2018-01-01T00:00:00.000+08:00,CR,6446,8925,3151977,BM,BMSZ15
2018-01-01T00:00:00.000+08:00,CR,20741,30340,5653929,BM,BMSZ16
2018-01-01T00:00:00.000+08:00,CR,11405,18410,2579256,BM,BMSZ17
2018-01-01T00:00:00.000+08:00,CR,26938,44159,12729775,BS,BSSZ01
2018-01-01T00:00:00.000+08:00,CR,13920,22001,6310839,BS,BSSZ02
2018-01-01T00:00:00.000+08:00,CR,29298,44048,9828709,BS,BSSZ03
2018-01-01T00:00:00.000+08:00,CR,23778,37392,10590536,BT,BTSZ01
2018-01-01T00:00:00.000+08:00,CR,8533,12803,2857672,BT,BTSZ02
2018-01-01T00:00:00.000+08:00,CR,8359,13347,4202759,BT,BTSZ03
2018-01-01T00:00:00.000+08:00,CR,7852,13385,3675827,BT,BTSZ04
2018-01-01T00:00:00.000+08:00,CR,9289,16164,3442989,BT,BTSZ05
2018-01-01T00:00:00.000+08:00,CR,13844,27846,5799302,BT,BTSZ06
2018-01-01T00:00:00.000+08:00,CR,10604,16251,4674832,BT,BTSZ07
2018-01-01T00:00:00.000+08:00,CR,6391,11460,2261284,BT,BTSZ08
2018-01-01T00:00:00.000+08:00,CR,36071,39848,7102920,DT,DTSZ01
2018-01-01T00:00:00.000+08:00,CR,56862,66253,9911499,DT,DTSZ02
2018-01-01T00:00:00.000+08:00,CR,50436,63527,8880251,DT,DTSZ03
2018-01-01T00:00:00.000+08:00,CR,1974,2007,409783,DT,DTSZ04
2018-01-01T00:00:00.000+08:00,CR,11625,12587,2040595,DT,DTSZ05
2018-01-01T00:00:00.000+08:00,CR,12501,14010,2116705,DT,DTSZ06
2018-01-01T00:00:00.000+08:00,CR,2500,2715,592350,DT,DTSZ07
2018-01-01T00:00:00.000+08:00,CR,10064,12384,2332355,DT,DTSZ08
2018-01-01T00:00:00.000+08:00,CR,6418,7348,1913199,DT,DTSZ09
2018-01-01T00:00:00.000+08:00,CR,5804,7044,2053685,DT,DTSZ10
2018-01-01T00:00:00.000+08:00,CR,12987,15390,2799921,DT,DTSZ11
2018-01-01T00:00:00.000+08:00,CR,61200,76625,9809158,DT,DTSZ12
2018-01-01T00:00:00.000+08:00,CR,13554,19695,5825306,GL,GLSZ01
2018-01-01T00:00:00.000+08:00,CR,17248,24665,8029629,GL,GLSZ02
2018-01-01T00:00:00.000+08:00,CR,22295,31701,9783650,GL,GLSZ03
2018-01-01T00:00:00.000+08:00,CR,98800,146413,40902572,GL,GLSZ04
2018-01-01T00:00:00.000+08:00,CR,52689,77240,19030564,GL,GLSZ05
2018-01-01T00:00:00.000+08:00,CR,34922,52950,15736337,KL,KLSZ01
2018-01-01T00:00:00.000+08:00,CR,12031,18083,4995826,KL,KLSZ02
2018-01-01T00:00:00.000+08:00,CR,6985,8787,2182872,KL,KLSZ03
2018-01-01T00:00:00.000+08:00,CR,7328,8189,1247584,KL,KLSZ04
2018-01-01T00:00:00.000+08:00,CR,22407,39694,6496232,KL,KLSZ05
2018-01-01T00:00:00.000+08:00,CR,41830,54219,14078069,KL,KLSZ06
2018-01-01T00:00:00.000+08:00,CR,27520,36206,9086477,KL,KLSZ07
